email,hobby_1,hobby_2,hobby_3,hobby_4,hobby_5,first_name,last_name
james.nordhoff@iunitimail.te,Radfahren,Musik,Angeln,Singen,,James,Nordhoff
christine.holtkötter@gmaiil.te,Singen,,,,,Christine,Holtkötter
simon.riekenberg@ge-em-ix.te,Fotografie,Nähen,Bowling,Angeln,Stricken,Simon,Riekenberg
carolin.belau@ge-em-ix.te,Schreiben,,,,,Carolin,Belau
ulrich.schlotmann@web.te,Bowling,Angeln,Tanzen,,,Ulrich,Schlotmann
irma.löseke@gmaiil.ork,Musik,,,,,Irma,Löseke
tilmann.menkhaus@d-ohnline.ork,Schreiben,Fotografie,,,,Tilmann,Menkhaus
josef.bratz@d-ohnline.ork,Klavierspielen,Yoga,Kochen,,,Josef,Bratz
smirnov.danil@d-ohnline.te,Laufen,Bowling,Basteln,Reisen,Nähen,Smirnov,Danil
birgit.müller@d-ohnline.ork,Klavierspielen,Musik,Stricken,Bowling,Gitarre,Birgit,Müller
martin.nocke@web.te,Schwimmen,,,,,Martin,Nocke
